index,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,1078,4635658,Tracy,78705,30.30123,-97.73674,Entire home/apt,85,2,221,4/28/2019,1.7,2,26
1,2265,2466,Paddy,78702,30.2775,-97.71398,Entire home/apt,225,28,24,3/16/2019,0.19,3,82
2,5245,2466,Paddy,78702,30.27577,-97.71379,Private room,100,28,9,3/14/2018,0.07,3,41
3,5456,8028,Sylvia,78702,30.26112,-97.73448,Entire home/apt,95,2,481,4/23/2019,3.88,1,290
4,5769,8186,Elizabeth,78729,30.45596,-97.7837,Private room,40,1,246,4/28/2019,2.22,1,69
5,6413,13879,Todd,78704,30.24829,-97.73726,Entire home/apt,99,4,94,5/6/2019,0.82,1,0
6,6448,14156,Amy,78704,30.26027,-97.76503,Entire home/apt,129,3,206,5/5/2019,2.2,2,100
7,8502,25298,Karen,78741,30.23616,-97.73682,Entire home/apt,40,3,45,10/9/2018,0.4,1,175
8,14765,57982,Charla,78704,30.25012,-97.74193,Entire home/apt,260,2,47,4/14/2019,0.63,1,133
9,14913,58635,Steven,78748,30.15645,-97.82411,Entire home/apt,300,1,25,8/26/2018,0.4,1,0
10,21126,80406,Dani,78704,30.24503,-97.74075,Entire home/apt,550,1,80,5/7/2019,1.05,11,137
11,21145,80511,April,78705,30.29422,-97.74618,Entire home/apt,220,2,32,2/18/2019,0.81,1,93
12,22166,84906,Stacey,78759,30.38957,-97.76216,Entire home/apt,155,30,9,7/4/2015,0.08,1,347
13,22828,56488,David,78741,30.23564,-97.73146,Entire home/apt,54,31,35,2/28/2019,0.31,1,237
14,22982,89031,Gina,78703,30.28027,-97.75596,Entire home/apt,95,2,130,4/20/2019,1.17,1,294
15,25028,102862,Elana,78757,30.33766,-97.73726,Entire home/apt,100,30,31,12/22/2018,0.28,1,227
16,32396,140174,Tiffany,78749,30.20273,-97.84439,Entire home/apt,55,1,9,10/2/2012,0.08,1,133
17,37324,161189,Chris,78727,30.4303,-97.69125,Private room,35,2,31,5/4/2019,0.64,1,271
18,39993,210965,Susan And Anthony,78703,30.29996,-97.77832,Entire home/apt,59,2,110,5/12/2019,1.75,2,289
19,40285,170787,Robbie,78731,30.35141,-97.76323,Entire home/apt,350,2,28,11/27/2016,0.28,1,364
20,46929,210965,Susan And Anthony,78703,30.30038,-97.77886,Entire home/apt,105,2,345,5/12/2019,3.3,2,240
21,47572,215917,Belinda,78758,30.37641,-97.70926,Private room,52,3,1,3/19/2019,0.53,1,357
22,50310,230553,Sevylla,78744,30.20093,-97.75318,Entire home/apt,40,3,234,5/5/2019,2.24,2,263
23,50318,12409,Flip,78705,30.28625,-97.75022,Entire home/apt,100,5,28,3/17/2019,0.27,2,319
24,50334,230747,Suzanne,78703,30.28271,-97.75881,Entire home/apt,300,7,3,3/18/2015,0.03,1,365
25,51100,235136,Charla,78703,30.28188,-97.76413,Entire home/apt,500,3,2,5/12/2019,0.02,1,210
26,56690,268988,Stephanie,78704,30.2444,-97.75121,Entire home/apt,150,2,156,5/5/2019,1.57,2,85
27,57187,272156,Lois,78704,30.25596,-97.76866,Entire home/apt,99,1,564,5/5/2019,5.54,2,251
29,68130,336916,Drew,78751,30.31171,-97.72455,Entire home/apt,89,2,420,4/28/2019,4.15,1,88
30,69303,272156,Lois,78704,30.2607,-97.77194,Entire home/apt,145,2,68,5/12/2019,0.69,2,234
31,69352,347068,Particular Properties,78704,30.25775,-97.76354,Entire home/apt,89,2,390,5/24/2018,3.93,2,194
32,69810,82762,Dolina,78704,30.23152,-97.76434,Entire home/apt,110,2,398,5/10/2019,3.99,1,220
33,70258,355348,Jason,78704,30.23616,-97.76446,Entire home/apt,150,2,22,3/31/2019,1.09,1,91
34,70812,268988,Stephanie,78704,30.24501,-97.74986,Entire home/apt,150,2,129,5/4/2019,1.3,2,85
35,72633,377037,Becca,78704,30.24604,-97.75329,Entire home/apt,470,2,39,3/20/2019,0.39,1,336
36,72706,377618,Susan,78704,30.24775,-97.76403,Entire home/apt,145,2,239,5/7/2019,2.41,2,317
37,72833,378744,Ellen And Andy,78731,30.31383,-97.75161,Entire home/apt,85,3,305,5/8/2019,3.07,1,123
38,73005,128514,Vivian,78727,30.41519,-97.73019,Entire home/apt,230,2,23,4/15/2019,0.23,1,132
39,73289,382510,Christina,78705,30.28985,-97.7451,Entire home/apt,107,30,39,3/25/2019,0.39,2,320
40,73898,387130,Rick,78749,30.20857,-97.85673,Private room,67,10,26,4/21/2018,0.27,1,0
41,74318,387918,Amy & Justin,78704,30.24422,-97.77885,Entire home/apt,90,2,188,4/23/2019,1.9,1,358
42,74716,393795,Jennifer,78702,30.27656,-97.72166,Private room,75,2,87,10/25/2018,1.28,1,0
43,74742,394019,William,78704,30.23042,-97.78256,Private room,77,1,6,3/18/2019,0.06,2,0
44,75174,393905,David,78702,30.24773,-97.72584,Entire home/apt,130,2,240,5/5/2019,2.41,2,189
45,75957,404260,Kelly,78703,30.29187,-97.76824,Entire home/apt,115,2,259,5/7/2019,2.61,2,332
46,76391,407740,Michelle,78751,30.3071,-97.73046,Entire home/apt,850,3,4,3/19/2015,0.04,1,365
47,76497,177441,Ashley,78703,30.27577,-97.75608,Entire home/apt,152,2,168,5/6/2019,1.69,2,353
48,76501,408534,Kevin And Bob,78722,30.29138,-97.71907,Entire home/apt,125,2,151,4/22/2019,1.51,1,316
49,76911,394012,Peter,78702,30.26775,-97.72695,Entire home/apt,821,2,114,5/12/2019,2.29,1,340
50,76925,411190,Lynn,78702,30.25517,-97.72458,Entire home/apt,400,2,15,4/7/2019,0.15,1,346
51,76996,1665428,Krista,78704,30.23778,-97.74453,Entire home/apt,68,20,33,4/21/2019,0.33,1,221
53,77635,416628,Carlos,78704,30.25177,-97.77888,Entire home/apt,195,3,13,4/6/2019,0.16,2,340
54,77639,416628,Carlos,78704,30.25003,-97.77859,Entire home/apt,245,3,19,5/6/2019,0.34,2,362
55,78035,419192,Keith And Shannon,78704,30.25625,-97.76766,Entire home/apt,750,3,62,4/28/2019,2.32,1,113
56,78127,419707,Julia,78701,30.2752,-97.74863,Entire home/apt,404,1,4,11/4/2018,0.04,3,12
57,78422,421002,E. Dixie,78702,30.27324,-97.71173,Private room,50,1,1,3/17/2011,0.01,1,72
58,78584,422239,Cristina,78702,30.26278,-97.73529,Entire home/apt,176,2,92,4/28/2019,1.08,3,114
59,78731,423131,Robin,78702,30.26984,-97.72874,Private room,85,2,150,4/28/2019,1.72,1,64
60,78749,423241,Breanne,78701,30.27066,-97.7414,Entire home/apt,128,30,7,5/3/2019,0.07,2,129
61,78831,423840,Marcus,78751,30.31262,-97.72543,Entire home/apt,109,2,308,5/12/2019,3.09,1,169
62,78884,424158,Lynne,78704,30.26088,-97.77438,Entire home/apt,89,2,109,4/29/2019,1.1,1,270
63,78898,424128,Jaime,78704,30.25126,-97.77173,Entire home/apt,95,2,220,5/12/2019,2.21,1,36
64,78908,424338,Patty,78704,30.23596,-97.78299,Entire home/apt,400,1,4,11/20/2012,0.04,1,364
65,78974,424835,Dan,78704,30.23916,-97.76487,Entire home/apt,100,1,398,4/27/2019,4.01,1,353
66,78993,424999,Emily,78731,30.32787,-97.75442,Entire home/apt,500,2,10,10/21/2018,0.56,1,0
67,79100,425706,Robert,78723,30.30971,-97.6948,Entire home/apt,95,2,20,3/24/2019,0.62,6,0
68,79432,427758,Ford,78703,30.2809,-97.76065,Entire home/apt,119,30,53,4/8/2019,0.53,1,100
69,79768,430091,Shawn,78702,30.26071,-97.73258,Entire home/apt,225,4,34,3/11/2019,0.37,2,0
70,80025,428761,David,78722,30.29808,-97.71339,Private room,600,5,4,1/23/2018,0.04,1,365
72,82033,445746,Kimberly,78723,30.30419,-97.68914,Entire home/apt,508,1,4,5/22/2018,0.28,1,71
73,83643,456230,Michele,78752,30.32373,-97.71629,Private room,47,2,164,4/8/2019,1.76,1,348
74,84771,321037,Lucien,78705,30.29269,-97.74345,Entire home/apt,45,2,16,1/3/2018,0.78,2,0
75,89475,487072,Greg & Amanda,78757,30.35669,-97.72658,Entire home/apt,199,30,82,4/7/2019,1,10,238
76,90898,236847,Lester,78704,30.24666,-97.7476,Entire home/apt,112,2,64,4/27/2019,0.65,1,329
77,104099,213651,Daniel,78704,30.25456,-97.77551,Entire home/apt,85,2,142,5/8/2019,1.53,2,0
78,104386,543367,Mary,78704,30.24613,-97.74528,Entire home/apt,77,31,123,3/14/2019,1.27,2,328
79,113779,578211,Pete,78751,30.30326,-97.73057,Entire home/apt,119,5,60,4/13/2019,0.67,9,348
80,113791,578249,Larry And Susan,78751,30.3022,-97.73013,Private room,60,30,12,6/22/2018,0.13,2,309
81,116014,419707,Julia,78701,30.27509,-97.74851,Entire home/apt,260,1,2,4/14/2019,0.02,3,3
82,128326,634580,Morrie And Rachel,78736,30.24395,-98.00244,Entire home/apt,295,3,172,4/29/2019,1.85,1,310
83,140474,578211,Pete,78751,30.30226,-97.73143,Entire home/apt,136,5,47,5/6/2019,0.51,9,312
84,140504,578211,Pete,78751,30.30242,-97.72954,Entire home/apt,119,5,43,4/28/2019,0.46,9,341
85,140561,41259,Vincent,78744,30.16127,-97.7843,Entire home/apt,199,2,31,1/28/2019,0.36,1,323
86,141550,688306,Epiphany,78702,30.25582,-97.72709,Entire home/apt,107,1,389,5/5/2019,4.16,1,152
87,145210,475506,Dan,78705,30.30219,-97.74143,Entire home/apt,129,3,176,5/6/2019,2.23,1,279
88,146153,707052,Julie,78722,30.28917,-97.71148,Entire home/apt,100,28,19,7/29/2018,0.22,1,364
89,154103,741170,Scott,78704,30.2515,-97.78206,Entire home/apt,373,3,13,3/13/2019,0.14,1,317
90,155359,372205,Keith,78732,30.41813,-97.88915,Entire home/apt,105,90,33,11/18/2018,0.36,3,191
91,158398,760426,Lis,78704,30.2521,-97.78382,Entire home/apt,699,4,11,3/10/2019,0.13,1,241
92,166561,347068,Particular Properties,78704,30.24154,-97.76121,Entire home/apt,69,2,337,4/29/2019,3.54,2,131
93,167459,628942,Marnie,78746,30.27728,-97.79113,Entire home/apt,800,3,7,3/12/2014,0.08,1,362
94,172104,746286,Isabel,78745,30.19318,-97.82095,Entire home/apt,129,3,10,3/19/2019,1.85,1,0
95,174828,835236,Jenny,78752,30.33107,-97.7142,Entire home/apt,350,2,270,5/12/2019,2.9,1,315
96,179885,861520,Ray,78704,30.23908,-97.77182,Entire home/apt,700,3,3,3/12/2014,0.03,1,365
97,191719,670910,John,78704,30.25784,-97.76114,Entire home/apt,270,3,194,5/7/2019,3.39,1,160
98,195674,951551,Lori,78704,30.25836,-97.76723,Entire home/apt,700,2,28,4/28/2019,0.37,1,363
99,202187,989596,John,78704,30.24776,-97.74527,Entire home/apt,85,1,647,5/5/2019,6.96,2,296
100,202753,729047,Tracy,78703,30.27571,-97.75819,Private room,300,2,10,5/8/2019,0.77,1,89
101,207054,1018853,Merri Gale & Donald,78741,30.24594,-97.7313,Entire home/apt,124,2,109,5/5/2019,1.19,1,162
102,208897,1029071,Suzanne,78702,30.2635,-97.70097,Entire home/apt,184,2,65,5/6/2019,1.03,1,68
103,214795,1109019,Kristi,78704,30.25341,-97.77369,Entire home/apt,99,2,60,5/14/2019,60,1,0
104,217637,307872,T.M.,78722,30.28913,-97.71844,Entire home/apt,79,2,114,5/6/2019,1.27,1,159
105,218402,1129520,Paulette,78754,30.3635,-97.64556,Private room,45,30,19,2/16/2019,0.21,1,325
106,219168,1134580,Kalu,78704,30.24503,-97.74531,Entire home/apt,250,2,10,5/13/2019,10,1,0
107,223230,583537,Courtney,78752,30.32827,-97.7156,Entire home/apt,139,2,101,5/5/2019,1.1,1,1
108,224603,1169129,David And Kristy,78751,30.30788,-97.72679,Entire home/apt,94,3,102,10/23/2017,1.1,1,0
109,227372,1185793,Sean & Lauren,78704,30.24846,-97.75077,Entire home/apt,295,2,142,5/5/2019,1.63,1,333
111,230976,1207603,Cj,78737,30.1703,-97.96974,Private room,79,1,69,3/31/2019,1.12,2,318
112,233930,578211,Pete,78751,30.30271,-97.73123,Entire home/apt,159,5,58,5/9/2019,0.65,9,345
113,234194,1207603,Cj,78737,30.17278,-97.973,Private room,55,1,32,1/21/2018,0.52,2,347
114,237705,1246229,Elizabeth,78702,30.25409,-97.72566,Entire home/apt,450,1,32,4/7/2019,0.35,4,1
115,238657,1250939,Kerry,78704,30.25368,-97.7567,Entire home/apt,150,2,66,5/10/2019,1.41,4,265
116,240541,1246229,Elizabeth,78702,30.25426,-97.72431,Entire home/apt,81,1,293,4/29/2019,3.33,4,25
117,244785,1284548,Gwen & Richard,78702,30.27917,-97.71564,Entire home/apt,90,1,546,5/13/2019,5.94,1,244
118,247770,1298575,Gloria,78723,30.3034,-97.68496,Entire home/apt,175,2,1,3/13/2012,0.01,1,0
119,254232,1335409,Eric,78703,30.27928,-97.75642,Entire home/apt,610,5,5,3/20/2016,0.06,2,347
120,256464,1348968,Sailing,78704,30.24481,-97.75253,Private room,110,1,82,4/28/2019,0.9,3,361
121,259845,1143953,Linda And Lia,78702,30.2717,-97.71704,Private room,65,2,65,4/15/2019,0.74,2,256
123,271052,1418696,Kelsey,78704,30.25309,-97.77375,Entire home/apt,350,3,30,4/21/2019,0.69,1,0
124,273064,1428893,Ryan,78741,30.23884,-97.73486,Entire home/apt,275,7,1,3/19/2012,0.01,1,0
125,277028,746455,Michael,78703,30.28281,-97.76417,Entire home/apt,299,1,36,5/5/2019,0.4,2,358
126,282342,1471597,Teresa,78758,30.36663,-97.70872,Entire home/apt,69,45,18,4/13/2019,0.2,1,60
127,286029,1488733,Brooke,78704,30.25864,-97.75981,Entire home/apt,222,1,158,4/25/2019,1.76,34,305
128,294708,1523587,Dallas,78704,30.23223,-97.74579,Entire home/apt,154,2,208,4/28/2019,2.38,20,292
129,295275,1282837,Joseph,78745,30.18844,-97.78975,Entire home/apt,210,30,50,11/2/2018,0.57,2,335
130,299282,1541934,Margo,78751,30.30944,-97.73181,Private room,195,30,35,3/17/2019,0.4,13,346
131,300574,167892,Veronica,78704,30.25721,-97.75563,Entire home/apt,124,2,294,5/5/2019,3.34,2,323
132,301701,1554241,April,78759,30.41396,-97.75983,Private room,79,1,1,3/14/2012,0.01,5,365
133,304866,1568741,Jim O',78745,30.20948,-97.76969,Entire home/apt,65,3,101,4/28/2019,1.14,12,361
134,305392,117233,Paige,78702,30.25518,-97.73289,Entire home/apt,525,3,9,3/12/2019,0.12,2,33
135,311092,1599866,Jaclyn,78704,30.23225,-97.76552,Entire home/apt,125,2,18,4/15/2019,0.21,1,361
136,313400,1611299,Pam,78704,30.25304,-97.76885,Entire home/apt,995,3,11,4/29/2018,0.29,1,346
138,315239,1617870,John,78745,30.2135,-97.7809,Entire home/apt,600,3,2,3/17/2014,0.03,1,365
139,316630,1626165,Gretchen,78704,30.25431,-97.75578,Entire home/apt,400,3,9,3/24/2015,0.1,1,0
140,316885,1554241,April,78759,30.41401,-97.76194,Private room,125,1,3,9/20/2014,0.05,5,365
141,316886,1554241,April,78759,30.41469,-97.76042,Private room,79,1,1,6/28/2014,0.02,5,365
142,317148,1628379,Martina,78702,30.26764,-97.70976,Entire home/apt,250,2,37,4/14/2019,0.42,1,177
143,318963,1637006,Cathy,78704,30.2509,-97.74119,Entire home/apt,650,2,1,1/26/2012,0.01,1,0
144,319759,814883,Kristen,78702,30.2648,-97.73428,Entire home/apt,200,2,195,4/25/2019,2.23,12,283
145,319887,1640158,Jessica,78702,30.25536,-97.72855,Entire home/apt,650,4,2,3/18/2015,0.03,1,0
146,319894,1640172,Gary,78724,30.28413,-97.64927,Entire home/apt,230,2,36,5/13/2019,0.41,2,342
147,320161,1427814,Andrea,78747,30.16204,-97.73744,Private room,45,30,19,3/30/2019,0.22,8,0
148,320435,1641993,Stephanie,78753,30.35229,-97.69454,Entire home/apt,625,4,4,3/17/2014,0.05,1,365
149,321069,1644741,Liz,78704,30.25407,-97.77818,Entire home/apt,750,2,1,6/23/2018,0.09,1,358
150,321636,1647037,Sara,78702,30.27752,-97.71919,Entire home/apt,95,1,377,4/29/2019,4.28,2,164
151,321675,1142525,James,78704,30.2509,-97.78843,Entire home/apt,500,1,13,10/4/2015,0.17,1,0
152,321718,1647403,David,78704,30.24391,-97.77203,Entire home/apt,475,3,9,3/13/2018,0.12,1,365
153,322834,3797734,Leslie And Dylan,78702,30.26833,-97.71708,Entire home/apt,240,7,47,3/25/2018,0.54,1,0
154,323733,1654178,Erik & Crystal,78701,30.26778,-97.74563,Entire home/apt,149,1,345,5/12/2019,3.97,1,271
155,325889,1666874,Abbie & Brian,78704,30.24669,-97.75532,Entire home/apt,799,3,10,4/7/2019,0.11,2,336
156,326839,1671318,Kelsey,78702,30.26052,-97.71214,Entire home/apt,375,3,9,3/17/2019,0.1,1,5
157,327911,1631335,Peggy,78757,30.33354,-97.73222,Private room,47,2,86,10/7/2018,0.97,1,133
158,329172,1680871,Janet,78746,30.3024,-97.80719,Entire home/apt,495,3,6,6/5/2016,0.07,1,360
159,329306,880571,Angel,78702,30.27235,-97.72514,Private room,75,2,424,4/4/2019,4.87,10,328
160,330301,1685125,Janet,78729,30.45096,-97.76467,Entire home/apt,130,5,12,8/28/2012,0.14,2,362
163,333442,1698318,Virginia,78703,30.31293,-97.76659,Entire home/apt,450,3,99,5/6/2019,1.24,1,297
164,333810,1700565,Robin,78741,30.23193,-97.74121,Entire home/apt,175,6,3,3/17/2016,0.04,1,0
165,333815,372962,Kim,78704,30.25333,-97.7523,Private room,99,1,135,4/22/2019,1.56,2,343
166,333856,372962,Kim,78704,30.25304,-97.75301,Private room,99,1,100,4/20/2019,1.14,2,340
167,333857,1700729,Larry And Joanna,78702,30.27508,-97.72995,Private room,65,1,132,5/5/2019,1.52,1,68
168,334554,1703984,Cindy,78704,30.2407,-97.77525,Entire home/apt,275,5,6,3/12/2019,0.07,1,66
169,334616,608539,D,78741,30.24468,-97.72442,Entire home/apt,250,1,2,3/17/2013,0.02,1,0
170,335945,1555683,Patrick,78741,30.24035,-97.73334,Entire home/apt,190,2,32,4/23/2018,0.37,1,163
171,337125,261883,Carolyn,78759,30.42198,-97.76717,Private room,75,1,33,10/6/2015,0.38,1,83
172,337149,1714022,Jessica,78702,30.256,-97.72595,Entire home/apt,200,2,153,4/15/2019,1.75,1,120
174,337414,1714815,Veronica,78702,30.26795,-97.71195,Private room,115,1,15,4/23/2016,0.2,1,0
175,337560,1715541,Jason,78704,30.23447,-97.76755,Private room,700,1,1,3/15/2012,0.01,1,365
176,337796,1714832,Shannon,78721,30.25866,-97.68761,Private room,100,2,2,3/19/2012,0.02,1,0
177,338117,1143953,Linda And Lia,78702,30.27374,-97.71887,Private room,67,2,58,4/22/2019,0.67,2,280
179,340419,1727068,Chris & Ana,78702,30.2628,-97.72499,Entire home/apt,222,7,5,3/14/2018,0.06,1,225
181,341382,1205884,Luke And Rachel,78702,30.26496,-97.71496,Entire home/apt,750,1,125,3/17/2019,1.43,1,0
182,341596,1733004,Julie,78704,30.24754,-97.75855,Private room,120,2,60,3/24/2019,0.69,1,249
183,341624,1733263,Brad,78745,30.21698,-97.77233,Entire home/apt,250,2,4,3/18/2019,0.06,1,0
184,341665,1733499,Lynn,78745,30.20962,-97.77531,Entire home/apt,240,2,30,5/6/2019,0.61,1,0
185,341909,1734746,Eileen,78702,30.2537,-97.73116,Entire home/apt,450,3,7,3/13/2019,0.09,1,0
186,342039,1735494,Joey And Steph,78702,30.25185,-97.73104,Entire home/apt,135,2,252,4/27/2019,2.89,1,316
187,342243,1736662,Teresa,78759,30.41699,-97.7544,Private room,32,31,1,8/16/2018,0.11,1,272
189,343258,1649892,Cecily,78745,30.20633,-97.79218,Entire home/apt,120,2,31,10/23/2016,0.36,1,317
190,343462,1742984,Rachel,78721,30.26912,-97.68767,Entire home/apt,79,1,212,5/1/2019,2.43,1,333
191,344976,1749905,Adam,78704,30.25035,-97.75722,Entire home/apt,370,3,33,5/3/2019,0.52,1,347
192,345221,1644218,Cecily,78701,30.27105,-97.74933,Entire home/apt,299,3,7,3/12/2019,0.08,2,333
193,345473,1751224,Whitney,78704,30.24547,-97.74739,Entire home/apt,295,2,36,3/28/2019,0.48,1,96
194,345536,1752493,Gigi,78704,30.24836,-97.76186,Entire home/apt,165,2,161,5/5/2019,1.88,3,315
195,345571,1217905,Christi,78704,30.25702,-97.76414,Entire home/apt,582,2,17,6/19/2018,0.19,1,359
196,346316,1756426,Joan,78704,30.2613,-97.78031,Entire home/apt,580,3,11,3/13/2019,0.25,1,346
197,346911,1758859,Matthew,78703,30.28455,-97.76286,Entire home/apt,445,2,10,3/13/2017,0.11,1,364
198,347342,6846310,Evan + Jackie,78703,30.27434,-97.75466,Entire home/apt,302,3,1,3/13/2012,0.01,2,0
199,347449,1722520,Rachelle,78703,30.28226,-97.76035,Entire home/apt,156,5,3,8/5/2016,0.05,1,133
200,347654,1761915,Charm,78704,30.23618,-97.74439,Entire home/apt,430,1,27,4/14/2019,0.31,2,171
201,347736,1366664,Jason,78702,30.26659,-97.73298,Entire home/apt,149,3,405,5/8/2019,4.63,1,74
202,347802,1594787,Ananda & Dunstan,78751,30.30232,-97.72633,Entire home/apt,119,2,196,3/25/2018,2.24,1,0
203,347847,1763086,Debbie,78702,30.26992,-97.73093,Entire home/apt,125,2,51,5/6/2019,1.4,1,75
204,347935,1763742,Amber,78704,30.2521,-97.76163,Entire home/apt,600,5,1,3/18/2012,0.01,1,0
206,349447,1770424,Jason,78702,30.27875,-97.72359,Entire home/apt,125,1,463,4/29/2019,5.31,5,328
207,349635,1771402,Cindie,78703,30.29933,-97.77637,Private room,59,1,42,3/18/2019,0.61,1,16
209,352543,1785118,Kyla,78704,30.24489,-97.77263,Entire home/apt,525,2,22,4/28/2019,0.25,1,362
210,353261,1789494,Lara,78704,30.24336,-97.75152,Entire home/apt,675,3,114,4/28/2019,1.81,1,312
211,353955,1792021,Mykel,78746,30.34442,-97.80005,Entire home/apt,225,3,1,3/15/2012,0.01,1,0
212,354263,1752493,Gigi,78704,30.24782,-97.76294,Entire home/apt,125,2,252,5/5/2019,2.89,3,310
213,354334,1781705,Jared,78704,30.24515,-97.77143,Entire home/apt,300,3,1,3/14/2013,0.01,2,0
214,354513,1795232,Sara,78702,30.25859,-97.72983,Entire home/apt,908,3,5,3/15/2017,0.07,1,0
215,354542,1795524,Sarah,78702,30.26332,-97.72082,Entire home/apt,1000,3,104,3/24/2019,1.19,1,293
216,354569,2049988,Mike,78703,30.28923,-97.7606,Entire home/apt,248,3,11,7/5/2017,0.13,1,0
217,355176,1798140,Scott,78745,30.22062,-97.77387,Entire home/apt,141,30,16,4/27/2019,0.18,1,4
218,355232,1798084,Jeffrey,78704,30.24803,-97.74556,Entire home/apt,1000,1,3,3/19/2017,0.04,1,365
220,355792,1801114,An,78703,30.27927,-97.75422,Entire home/apt,119,2,10,4/28/2019,0.11,1,15
222,356575,1804677,Xavier,78702,30.25673,-97.72944,Entire home/apt,138,1,121,3/13/2019,1.39,1,0
223,356675,1805253,Trey,78703,30.30587,-97.77132,Entire home/apt,1050,3,2,6/1/2013,0.02,1,0
224,356719,1805524,Jai,78723,30.30599,-97.69641,Entire home/apt,325,2,1,11/20/2012,0.01,1,0
225,356837,1806205,Varun,78701,30.2805,-97.74286,Entire home/apt,799,4,8,3/14/2017,0.09,1,363
226,357472,1782393,Meredith And Rip,78702,30.25176,-97.7227,Private room,75,2,80,5/6/2019,0.92,1,31
227,357503,1809146,David,78704,30.24981,-97.77782,Entire home/apt,495,2,3,10/13/2015,0.04,1,0
228,357529,1808807,Renee,78704,30.2552,-97.76862,Entire home/apt,135,3,190,5/11/2019,2.18,2,103
229,358164,1812799,Monica,78751,30.31062,-97.7184,Private room,100,1,167,5/5/2019,1.92,1,331
230,358276,1163788,Olivia,78702,30.27913,-97.71576,Private room,49,1,101,5/8/2019,1.21,6,2
232,358675,1815489,Lucy,78746,30.29172,-97.83906,Entire home/apt,500,2,1,2/24/2019,0.37,2,338
233,359425,1818568,Carrie,78757,30.33765,-97.72982,Entire home/apt,200,1,2,3/20/2016,0.02,1,0
234,359716,1819829,Ryan,78704,30.26059,-97.77649,Entire home/apt,375,2,6,10/12/2015,0.08,1,0
235,359970,1818990,Janell,78702,30.25759,-97.71779,Entire home/apt,110,2,42,4/29/2019,1.6,2,173
236,360156,376066,Logan,78721,30.27155,-97.68703,Entire home/apt,300,1,118,4/29/2019,1.47,1,207
238,362525,1827423,Vicki,78741,30.22304,-97.71811,Entire home/apt,87,2,33,4/26/2019,0.38,1,301
239,362662,1832618,Robert,78702,30.2532,-97.72391,Entire home/apt,500,2,127,5/1/2019,1.6,1,346
240,363040,213651,Daniel,78704,30.25456,-97.77665,Entire home/apt,67,2,200,5/5/2019,2.3,2,78
241,363079,1835217,Courtney,78704,30.23994,-97.74361,Entire home/apt,980,3,72,4/21/2019,0.84,1,301
242,363944,1840480,Scott And Sally,78704,30.25725,-97.77011,Entire home/apt,695,5,26,5/20/2018,0.42,9,222
243,364025,1839064,Adriana,78703,30.27407,-97.75345,Entire home/apt,200,3,13,3/14/2019,0.17,1,0
244,364121,871765,Bruce,78734,30.39409,-97.91907,Private room,210,2,1,10/22/2017,0.05,1,361
245,364269,1840480,Scott And Sally,78704,30.2584,-97.76881,Entire home/apt,295,4,68,5/10/2019,0.78,9,341
246,364402,1841318,Alice,78751,30.32109,-97.71999,Private room,32,30,12,3/31/2018,0.22,2,280
247,365471,1845598,D.K.,78702,30.26002,-97.73317,Entire home/apt,350,1,64,5/5/2019,0.73,1,112
248,366403,1834167,Grace Marie,78722,30.28553,-97.72017,Entire home/apt,85,4,35,3/19/2017,0.57,4,0
249,366757,1851632,Edna,78702,30.26636,-97.70848,Entire home/apt,207,1,7,3/17/2018,0.09,1,0
250,367356,1488733,Brooke,78751,30.30632,-97.722,Entire home/apt,191,1,127,5/1/2019,1.46,34,336
251,367366,1854873,Alex,78721,30.26526,-97.6846,Entire home/apt,135,2,71,4/28/2019,1.59,1,253
252,367445,1855238,Caroline,78751,30.30676,-97.72635,Entire home/apt,101,3,170,5/6/2019,1.95,1,349
253,367789,1856695,John,78703,30.30665,-97.77151,Entire home/apt,2150,4,1,3/17/2014,0.02,1,0
256,371539,1871009,Brad,78701,30.2663,-97.7424,Entire home/apt,490,2,148,5/12/2019,2.32,1,299
257,372254,1568741,Jim O',78745,30.20981,-97.77037,Entire home/apt,14,2,19,4/21/2019,0.23,12,364
259,375142,1887493,Susan,78704,30.25374,-97.74519,Private room,195,2,2,11/21/2017,0.03,3,0
261,377391,1896666,Rachelle,78704,30.23589,-97.76997,Entire home/apt,0,1,1,10/16/2017,0.05,1,0
263,381240,1887493,Susan,78704,30.2524,-97.74437,Entire home/apt,595,4,3,3/15/2017,0.04,3,83
264,383689,1921749,Jamie,78701,30.2636,-97.74204,Entire home/apt,177,1,470,5/8/2019,5.83,1,74
265,385526,1348968,Sailing,78704,30.24541,-97.75255,Private room,89,1,51,4/8/2019,0.61,3,363
267,403090,1752493,Gigi,78704,30.24658,-97.7628,Entire home/apt,75,3,24,3/2/2015,0.29,3,0
268,406911,1652515,Cynthia,78704,30.25966,-97.75555,Entire home/apt,95,1,253,5/11/2019,3.15,1,339
269,412290,1726978,Foulk,78704,30.23944,-97.7535,Private room,95,1,52,1/17/2018,0.66,1,0
271,424279,1275188,Susie & Eoin,78704,30.24035,-97.7522,Entire home/apt,95,29,16,10/20/2018,0.21,1,130
272,429368,422789,Tara,78704,30.25612,-97.78365,Entire home/apt,1200,3,6,5/5/2019,0.11,1,142
273,430683,2141281,Melanie,78731,30.33945,-97.76182,Entire home/apt,625,2,2,5/30/2016,0.02,2,163
