index,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10206,31560617,12355671,Transitions,78701,30.2646,-97.74711,Entire home/apt,179,4,1,4/20/2019,1,4,0
10207,31562513,9351502,Kimberly,78704,30.24036,-97.75801,Entire home/apt,150,2,13,5/5/2019,4.59,1,94
10208,31563501,235104581,The Guild,78704,30.25661,-97.76393,Entire home/apt,200,1,52,5/13/2019,17.93,2,325
10209,31563706,4133516,Cobih,78721,30.27242,-97.6786,Entire home/apt,150,2,11,5/5/2019,3.51,2,131
10210,31563730,230398817,The Guild,78702,30.26163,-97.72417,Private room,200,1,1,4/28/2019,1,2,322
10211,31564285,236589480,Nick,78752,30.33023,-97.68545,Entire home/apt,150,3,3,3/17/2019,0.86,1,0
10213,31568396,134083514,Adam,78735,30.29094,-97.87194,Private room,65,1,5,3/22/2019,1.32,2,8
10214,31568720,219500569,Sonder (Austin),78745,30.21208,-97.77272,Entire home/apt,68,2,6,4/15/2019,1.91,79,210
10215,31568779,219500569,Sonder (Austin),78745,30.21282,-97.7715,Entire home/apt,65,2,9,4/28/2019,2.67,79,203
10216,31568824,219500569,Sonder (Austin),78745,30.21247,-97.7715,Entire home/apt,71,2,8,4/16/2019,2.58,79,204
10218,31568920,219500569,Sonder (Austin),78745,30.21261,-97.7728,Entire home/apt,70,2,3,3/16/2019,1.22,79,210
10219,31568929,219500569,Sonder (Austin),78745,30.2113,-97.77321,Entire home/apt,68,2,12,4/28/2019,3.75,79,198
10220,31569991,97007344,Kyle,78744,30.19721,-97.73077,Private room,60,1,7,5/9/2019,1.94,1,166
10222,31571090,235119620,Miriam,78704,30.22573,-97.76033,Entire home/apt,100,2,9,4/21/2019,2.35,1,0
10223,31571374,109904033,Colleen,78701,30.27084,-97.74823,Entire home/apt,189,3,1,3/7/2019,0.43,4,24
10224,31574384,236684942,Owen,78745,30.22912,-97.79897,Private room,50,1,12,5/6/2019,4.93,1,70
10225,31575097,170465200,Rick,78746,30.27546,-97.80422,Entire home/apt,104,1,12,4/27/2019,3.16,4,337
10226,31588625,1646196,Paula,78702,30.26149,-97.73309,Entire home/apt,200,2,7,5/12/2019,4.67,1,43
10228,31591106,152533086,Jayson,78744,30.19745,-97.70259,Private room,60,1,1,1/27/2019,0.28,3,43
10229,31591815,35664446,MIshka,78733,30.34397,-97.85385,Private room,75,1,6,4/29/2019,1.75,1,83
10231,31599799,174553471,Elsa,78704,30.23448,-97.76687,Private room,100,1,2,3/17/2019,0.91,2,90
