id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32891913,Bedroom and couch available in South Austin,49444594,Kelley,,78745,30.18871,-97.81318,Private room,200,2,0,,,1,90
32893985,Charming Hyde Park Duplex,6904065,Ladaun,,78751,30.30535,-97.72602,Entire home/apt,65,3,1,2019-03-16,0.50,1,0
32894437,One bedroom in Domain Shopping Center,12355671,Transitions,,78758,30.40589,-97.724,Entire home/apt,129,7,1,2019-04-16,1,4,0
32894622,The Middleton estate living room couch crashin,177411568,Joseph,,78725,30.26589,-97.62843,Shared room,45,1,1,2019-03-17,0.51,2,0
32896642,Cute Private Bedroom in Austin,117142014,Brian,,78723,30.30296,-97.68166,Private room,46,30,9,2019-04-21,4.22,2,335
32896649,Townhome great location 2 miles from downtown,176786692,Matthew,,78746,30.25865,-97.79528,Private room,200,2,0,,,1,365
32897159,"Private Queen Bedroom, Cute Residential House",117142014,Brian,,78723,30.30156,-97.68246,Private room,58,30,3,2019-04-14,1.38,2,335
32897289,Rainey Street District Shared Condo!!,247498629,Cole,,78702,30.25378,-97.7361,Private room,250,1,1,2019-03-19,0.53,1,364
32898594,Panoramic views of Lake Austin high in the hills,4838083,Justin,,78734,30.38213,-97.91619,Entire home/apt,300,3,5,2019-05-05,2.42,1,118
32899689,5 minutes from downtown action,247514116,Jesus,,78741,30.2342,-97.71936,Private room,70,1,5,2019-03-24,2.46,1,0
32899836,Downtown Austin 2Bedroom Deluxe with Rooftop Pool,96086378,Ashley,,78701,30.27128,-97.74734,Entire home/apt,699,4,0,,,1,114
32900391,Menlo at Mueller,7904669,Joe,,78723,30.32007,-97.68664,Entire home/apt,95,3,1,2019-03-08,0.44,1,0
32901053,"Min walk to Rainey St, Lake, & Convention Center!!",40758630,Philiph,,78702,30.26002,-97.73472,Entire home/apt,150,2,10,2019-05-07,4.69,3,175
32901776,Townhome at City Treetops,68264798,Christina,,78731,30.38039,-97.77081,Entire home/apt,51,6,0,,,1,0
32901935,"Cozy, centrally located room w/ private entrance",17841689,Jeremy,,78722,30.28869,-97.71538,Private room,250,2,0,,,1,0
32902585,Comfortable 2 story home minutes from downtown,126468764,Lee,,78704,30.243,-97.77453,Entire home/apt,279,1,0,,,2,88
32904649,Mi Casa es su Casa! (Queen),238819834,Sara,,78744,30.16928,-97.76997,Private room,300,1,1,2019-04-14,1,3,90
32905546,Mi Casa es su Casa!,238819834,Sara,,78744,30.16805,-97.77012,Private room,500,1,0,,,3,72
32906126,Mi Casa es su Casa! (Full),238819834,Sara,,78744,30.16715,-97.76874,Private room,300,1,0,,,3,365
32906997,★Retreat To An Open Concept Loft In ATX ★,15439279,Allie,,78757,30.34037,-97.7185,Entire home/apt,175,2,8,2019-05-05,3.93,1,354
32910465,Breezy Room in Quiet East Bungalow (Plant museum),14867535,Miriam,,78721,30.27448,-97.67722,Private room,150,1,3,2019-03-17,1.43,2,84
32911221,2 Private Bedrooms & bath N Remodeled Townhome!,28002922,Max,,78741,30.22248,-97.72411,Private room,200,1,0,,,5,365
32911946,Experience Classic Austin - Close to Everything!,67052418,Magnolia,,78702,30.2753,-97.70706,Entire home/apt,130,1,13,2019-05-09,6.29,1,321
32913849,Private Room -- 5 min from SXSW (downtown),28689646,Chris,,78723,30.31212,-97.70604,Private room,100,2,0,,,2,364
32915495,Charming Duplex Near Downtown,15805983,Nurah,,78741,30.23528,-97.73412,Entire home/apt,165,5,1,2019-03-15,0.49,1,20
32915978,Greenbelt Place,86087616,Ana,,78746,30.25958,-97.78642,Entire home/apt,150,1,0,,,1,161
32916120,PEACEFUL HIDEAWAY - CENTRAL,247647306,Jeffrey,,78735,30.23804,-97.80999,Private room,85,2,1,2019-04-14,1,1,365
32916260,Private suite with media room & private bath,153044491,Rebecca,,78747,30.13127,-97.77013,Private room,65,2,1,2019-04-12,0.91,2,108
32916557,Cozy cottage close to downtown!,8871830,Shanon And Sarah,,78722,30.2852,-97.71975,Entire home/apt,250,2,3,2019-04-28,1.36,1,89
32917130,East Austin - Cute and Comfy Room (#1),246369666,Alberto,,78721,30.26882,-97.68637,Private room,45,7,11,2019-05-05,5.08,2,8
32917302,Newly furnished luxury apartment close to downtown,58629141,Paresh,,78751,30.31347,-97.73372,Entire home/apt,120,1,5,2019-04-14,2.27,1,162
32917395,Sleek 1BR in Downtown Austin #1509 by WanderJaunt,104309976,WanderJaunt,,78701,30.26961,-97.74954,Entire home/apt,10000,1,13,2019-05-09,6.09,55,164
32918007,Magical Urban Farm Avion,1596704,Steph,,78702,30.25667,-97.69478,Entire home/apt,220,2,4,2019-04-28,2.14,2,89
32918466,2 bedroom 2 bath in the heart of the Domain,22647318,National Corporate Housing-Houston,,78758,30.39944,-97.72324,Entire home/apt,78,3,1,2019-04-29,1,6,0
32918778,"Private luxury studio, 20 min to center of Austin",2456120,Jeff,,78733,30.34021,-97.8569,Entire home/apt,140,2,3,2019-04-14,1.53,1,24
